T      C4        C8        C16       C32       C64       C128      C256
1.000  0.0234135 0.0233837 0.0233837 0.0233837 0.0233837 0.0233837 0.0233837
1.100  0.0417095 0.0415923 0.0415923 0.0415923 0.0415923 0.0415923 0.0415923
1.200  0.0675323 0.0671705 0.0671704 0.0671704 0.0671704 0.0671704 0.0671704
1.300  0.101921  0.101012  0.101012  0.101012  0.101012  0.101012  0.101012
1.400  0.145887  0.144018  0.144015  0.144015  0.144015  0.144015  0.144015
1.500  0.200353  0.197299  0.197278  0.197278  0.197278  0.197278  0.197278
1.600  0.265865  0.262467  0.262358  0.262358  0.262358  0.262358  0.262358
1.700  0.342066  0.342084  0.341671  0.341671  0.341671  0.341671  0.341671
1.800  0.427050  0.440260  0.439229  0.439222  0.439222  0.439222  0.439222
1.850  0.471686  0.498075  0.496898  0.496873  0.496873  0.496873  0.496873
1.900  0.516868  0.562730  0.562261  0.562170  0.562170  0.562170  0.562170
1.950  0.561783  0.634761  0.637415  0.637143  0.637143  0.637143  0.637143
2.000  0.605533  0.714127  0.725518  0.724884  0.724881  0.724881  0.724881
2.050  0.647179  0.799737  0.831188  0.830444  0.830416  0.830416  0.830416
2.100  0.685785  0.888951  0.960142  0.962992  0.962759  0.962759  0.962759
2.150  0.720481  0.977252  1.11591   1.14136   1.14063   1.14061   1.14061
2.200  0.750507  1.05839   1.29053   1.40114   1.41505   1.41444   1.41444
2.210  0.755895  1.07313   1.32539   1.46555   1.49332   1.49267   1.49265
2.220  0.761069  1.08724   1.35940   1.53337   1.58462   1.58532   1.58521
2.230  0.766023  1.10065   1.39212   1.60328   1.69176   1.69913   1.69872
2.240  0.770754  1.11332   1.42307   1.67315   1.81585   1.84628   1.84577
2.250  0.775260  1.12519   1.45175   1.74006   1.95288   2.04628   2.05578
2.260  0.779538  1.13621   1.47767   1.80038   2.08902   2.30743   2.41213
2.261  0.779954  1.13726   1.48010   1.80590   2.10167   2.33510   2.46076
2.262  0.780366  1.13831   1.48249   1.81130   2.11404   2.36254   2.51162
2.263  0.780777  1.13934   1.48484   1.81659   2.12607   2.38953   2.56425
2.264  0.781185  1.14037   1.48716   1.82176   2.13775   2.41587   2.61795
2.265  0.781591  1.14139   1.48945   1.82681   2.14903   2.44131   2.67172
2.266  0.781995  1.14240   1.49170   1.83173   2.15988   2.46562   2.72429
2.267  0.782396  1.14339   1.49392   1.83652   2.17028   2.48853   2.77409
2.268  0.782795  1.14438   1.49610   1.84118   2.18018   2.50978   2.81938
2.269  0.783192  1.14536   1.49825   1.84570   2.18956   2.52912   2.85828
2.270  0.783586  1.14634   1.50036   1.85007   2.19837   2.54628   2.88897
2.271  0.783978  1.14730   1.50243   1.85430   2.20660   2.56103   2.90979
2.272  0.784368  1.14825   1.50447   1.85838   2.21421   2.57313   2.91948
2.273  0.784755  1.14919   1.50647   1.86231   2.22117   2.58241   2.91729
2.274  0.785140  1.15013   1.50842   1.86608   2.22746   2.58869   2.90306
2.275  0.785523  1.15105   1.51035   1.86968   2.23305   2.59185   2.87725
2.276  0.785903  1.15196   1.51223   1.87313   2.23792   2.59182   2.84092
2.277  0.786281  1.15287   1.51407   1.87641   2.24204   2.58854   2.79560
2.278  0.786657  1.15376   1.51587   1.87952   2.24540   2.58204   2.74312
2.279  0.787030  1.15465   1.51764   1.88245   2.24799   2.57238   2.68547
2.280  0.787401  1.15552   1.51936   1.88521   2.24978   2.55964   2.62459
2.281  0.787770  1.15639   1.52104   1.88779   2.25077   2.54399   2.56231
2.282  0.788136  1.15725   1.52268   1.89019   2.25095   2.52559   2.50015
2.283  0.788500  1.15809   1.52428   1.89241   2.25032   2.50466   2.43937
2.284  0.788862  1.15893   1.52584   1.89444   2.24887   2.48145   2.38090
2.285  0.789221  1.15975   1.52736   1.89629   2.24660   2.45621   2.32538
2.286  0.789578  1.16057   1.52883   1.89794   2.24353   2.42921   2.27318
2.287  0.789933  1.16138   1.53026   1.89940   2.23965   2.40073   2.22449
2.288  0.790285  1.16217   1.53165   1.90067   2.23498   2.37105   2.17929
2.289  0.790635  1.16296   1.53299   1.90175   2.22953   2.34043   2.13750
2.290  0.790982  1.16374   1.53429   1.90262   2.22332   2.30913   2.09891
2.290  0.790982  1.16374   1.53429   1.90262   2.22332   2.30913   2.09891
2.300  0.794328  1.17094   1.54484   1.90047   2.12427   2.00245   1.83769
2.310  0.797437  1.17711   1.55078   1.87862   1.97982   1.77081   1.68750
2.320  0.800309  1.18222   1.55197   1.83869   1.82227   1.61499   1.57833
2.330  0.802943  1.18625   1.54841   1.78370   1.67470   1.50585   1.49051
2.340  0.805340  1.18919   1.54016   1.71755   1.54765   1.42292   1.41661
2.350  0.807500  1.19104   1.52741   1.64440   1.44263   1.35538   1.35280
2.360  0.809423  1.19180   1.51044   1.56811   1.35689   1.29775   1.29670
2.370  0.811110  1.19147   1.48960   1.49187   1.28645   1.24712   1.24669
2.380  0.812563  1.19008   1.46530   1.41811   1.22768   1.20180   1.20162
2.390  0.813783  1.18762   1.43798   1.34841   1.17764   1.16071   1.16064
2.400  0.814771  1.18413   1.40814   1.28370   1.13416   1.12313   1.12310
2.410  0.815530  1.17964   1.37625   1.22436   1.09569   1.08850   1.08849
2.420  0.816063  1.17418   1.34279   1.17038   1.06110   1.05642   1.05642
2.430  0.816371  1.16778   1.30822   1.12150   1.02960   1.02656   1.02656
2.440  0.816458  1.16048   1.27295   1.07732   1.00062   0.998637  0.998636
2.450  0.816327  1.15233   1.23737   1.03740   0.973737  0.972440  0.972440
2.460  0.815980  1.14338   1.20182   1.00125   0.948630  0.947783  0.947782
2.470  0.815421  1.13366   1.16658   0.968414  0.925062  0.924507  0.924507
2.480  0.814655  1.12324   1.13191   0.938480  0.902844  0.902480  0.902479
2.490  0.813685  1.11216   1.09799   0.911072  0.881824  0.881585  0.881585
2.500  0.812514  1.10047   1.06501   0.885859  0.861881  0.861724  0.861724
2.550  0.803809  1.03476   0.917062  0.784048  0.775209  0.775189  0.775189
2.600  0.790779  0.961443  0.799124  0.708161  0.704875  0.704872  0.704872
2.650  0.774045  0.885867  0.707293  0.647421  0.646178  0.646177  0.646177
2.700  0.754243  0.812001  0.635445  0.596687  0.596207  0.596207  0.596207
2.750  0.732004  0.742432  0.578165  0.553203  0.553014  0.553014  0.553014
2.800  0.707920  0.678576  0.531397  0.515304  0.515228  0.515228  0.515228
2.900  0.656343  0.569622  0.458919  0.452126  0.452113  0.452113  0.452113
3.000  0.603138  0.483975  0.404338  0.401387  0.401384  0.401384  0.401384
3.100  0.550911  0.417267  0.361002  0.359679  0.359679  0.359679  0.359679
3.200  0.501352  0.364967  0.325399  0.324787  0.324787  0.324787  0.324787
3.300  0.455417  0.323372  0.295475  0.295184  0.295184  0.295184  0.295184
3.400  0.413531  0.289712  0.269918  0.269776  0.269776  0.269776  0.269776
3.500  0.375759  0.261987  0.247826  0.247754  0.247754  0.247754  0.247754
3.600  0.341947  0.238771  0.228545  0.228508  0.228508  0.228508  0.228508
