T8       P8       T12      P12      T16     P16      T24      P24      T32      P32      T48      P48      T64      P64
-10.1535 0.226917 -15.2302 0.188740 -20.307 0.186182 -30.4604 0.253637 -40.6139 0.236352 -60.9209 0.293958 -81.2279 0.508874
-9.35348 0.226854 -14.0302 0.190456 -18.707 0.186610 -28.0604 0.254787 -37.4139 0.237473 -56.1209 0.295778 -74.8279 0.507637
-8.55348 0.228957 -12.8302 0.190424 -17.107 0.187678 -25.6604 0.254008 -34.2139 0.237628 -51.3209 0.29252 -68.4279 0.506306
-7.75348 0.227542 -11.6302 0.192671 -15.507 0.187509 -23.2604 0.256726 -31.0139 0.238348 -46.5209 0.293768 -62.0279 0.509368
-6.95348 0.231049 -10.4302 0.193707 -13.907 0.190412 -20.8604 0.258024 -27.8139 0.240926 -41.7209 0.293235 -55.6279 0.505389
-6.15348 0.234409 -9.23022 0.194105 -12.307 0.190212 -18.4604 0.25646 -24.6139 0.237156 -36.9209 0.292647 -49.2279 0.50692
-5.35348 0.234549 -8.03022 0.19466 -10.707 0.196109 -16.0604 0.254759 -21.4139 0.238963 -32.1209 0.292278 -42.8279 0.501968
-4.55348 0.264641 -6.83022 0.199366 -9.10697 0.19341 -13.6604 0.259162 -18.2139 0.239109 -27.3209 0.295842 -36.4279 0.504186
-3.75348 0.285162 -5.63022 0.210278 -7.50697 0.202094 -11.2604 0.262228 -15.0139 0.238887 -22.5209 0.298521 -30.0279 0.50072
-2.95348 0.394027 -4.43022 0.21348 -5.90697 0.204214 -8.86045 0.257911 -11.8139 0.254324 -17.7209 0.293199 -23.6279 0.490559
-2.15348 0.55026 -3.23022 0.315901 -4.30697 0.232893 -6.46045 0.262906 -8.61393 0.263892 -12.9209 0.296561 -17.2279 0.506882
-1.35348 0.601891 -2.03022 0.434236 -2.70697 0.304703 -4.06045 0.295447 -5.41393 0.258697 -8.1209 0.303793 -10.8279 0.484897
-0.553483 0.570304 -0.830224 0.621115 -1.10697 0.533465 -1.66045 0.358541 -2.21393 0.286292 -3.3209 0.327522 -4.42786 0.489375
0.246517 0.645923 0.369776 0.637964 0.493035 0.637365 0.739552 0.596985 0.98607 0.563466 1.4791 0.474413 1.97214 0.645633
1.04652 0.641966 1.56978 0.67072 2.09303 0.670364 3.13955 0.556914 4.18607 0.546548 6.2791 0.529174 8.37214 0.676147
1.84652 0.702536 2.76978 0.719748 3.69303 0.672754 5.53955 0.624555 7.38607 0.601305 11.0791 0.549112 14.7721 0.685956
2.64652 0.674449 3.96978 0.73238 5.29303 0.719441 7.93955 0.609391 10.5861 0.602447 15.8791 0.540571 21.1721 0.678991
3.44652 0.671996 5.16978 0.75386 6.89303 0.727792 10.3396 0.611079 13.7861 0.619898 20.6791 0.526004 27.5721 0.704506
4.24652 0.728484 6.36978 0.738043 8.49303 0.749507 12.7396 0.603976 16.9861 0.612224 25.4791 0.521141 33.9721 0.670357
5.04652 0.71165 7.56978 0.707751 10.093 0.745287 15.1396 0.615262 20.1861 0.628313 30.2791 0.53672 40.3721 0.687254
5.84652 0.696816 8.76978 0.755345 11.693 0.730777 17.5396 0.61539 23.3861 0.596764 35.0791 0.537759 46.7721 0.686811
6.64652 0.688757 9.96978 0.729946 13.293 0.713215 19.9396 0.61455 26.5861 0.613904 39.8791 0.52119 53.1721 0.687039
7.44652 0.732744 11.1698 0.725181 14.893 0.737873 22.3396 0.613392 29.7861 0.620804 44.6791 0.540628 59.5721 0.706712
8.24652 0.717395 12.3698 0.74966 16.493 0.715862 24.7396 0.624418 32.9861 0.63834 49.4791 0.531791 65.9721 0.692873
9.04652 0.701318 13.5698 0.751982 18.093 0.711532 27.1396 0.614423 36.1861 0.638176 54.2791 0.548805 72.3721 0.706222
9.84652 0.694197 14.7698 0.742569 19.693 0.727546 29.5396 0.629735 39.3861 0.650433 59.0791 0.537707 78.7721 0.679341
10.6465 0.698723 15.9698 0.750037 21.293 0.745045 31.9396 0.630287 42.5861 0.654069 63.8791 0.539295 85.1721 0.71255
