T   P8       P12      P16      P24      P32      P48      P64      E8         E12       E16        E24        E32        E48        E64
1.0 0.226917 0.188740 0.186182 0.253637 0.236352 0.293958 0.508874 0.00321954 0.0037581 0.00673261 0.00803762 0.00433163 0.00732775 0.00702456
1.1 0.226854 0.190456 0.18661 0.254787 0.237473 0.295778 0.507637 0.00263761 0.0101411 0.00500237 0.00908676 0.0100329 0.00952136 0.0123436
1.2 0.228957 0.190424 0.187678 0.254008 0.237628 0.29252 0.506306 0.009624 0.0110961 0.00862583 0.0124654 0.012637 0.011563 0.0145794
1.3 0.227542 0.192671 0.187509 0.256726 0.238348 0.293768 0.509368 0.0148145 0.0156586 0.0110413 0.0155594 0.0170044 0.0154638 0.0195272
1.4 0.231049 0.193707 0.190412 0.258024 0.240926 0.293235 0.505389 0.0168002 0.0169247 0.0192951 0.0232594 0.024258 0.0210684 0.0261392
1.5 0.234409 0.194105 0.190212 0.25646 0.237156 0.292647 0.50692 0.0200856 0.0202616 0.0205431 0.0261015 0.0280323 0.0269107 0.0329549
1.6 0.234549 0.19466 0.196109 0.254759 0.238963 0.292278 0.501968 0.0217238 0.0236902 0.0293759 0.0306271 0.0322312 0.0277858 0.0389942
1.7 0.264641 0.199366 0.19341 0.259162 0.239109 0.295842 0.504186 0.126934 0.0302269 0.0275901 0.042332 0.0445007 0.0351777 0.0500959
1.8 0.285162 0.210278 0.202094 0.262228 0.238887 0.298521 0.50072 0.157515 0.033194 0.0379875 0.047915 0.0535971 0.0494718 0.0559881
1.9 0.394027 0.21348 0.204214 0.257911 0.254324 0.293199 0.490559 0.29103 0.043794 0.0427695 0.0554886 0.077559 0.0513509 0.0586288
2.0 0.55026 0.315901 0.232893 0.262906 0.263892 0.296561 0.506882 0.340259 0.23707 0.0958473 0.0697706 0.0795715 0.0658904 0.0778541
2.1 0.601891 0.434236 0.304703 0.295447 0.258697 0.303793 0.484897 0.341305 0.324386 0.215581 0.0760413 0.0841702 0.0754441 0.105255
2.2 0.570304 0.621115 0.533465 0.358541 0.286292 0.327522 0.489375 0.326916 0.343858 0.331567 0.181271 0.130878 0.0903005 0.127384
2.3 0.645923 0.637964 0.637365 0.596985 0.563466 0.474413 0.645633 0.310809 0.327608 0.298724 0.20756 0.17205 0.149793 0.162776
2.4 0.641966 0.67072 0.670364 0.556914 0.546548 0.529174 0.676147 0.269561 0.273194 0.234542 0.165806 0.159205 0.150211 0.139843
2.5 0.702536 0.719748 0.672754 0.624555 0.601305 0.549112 0.685956 0.252425 0.21727 0.214602 0.146262 0.164697 0.155922 0.134052
2.6 0.674449 0.73238 0.719441 0.609391 0.602447 0.540571 0.678991 0.235316 0.191903 0.158551 0.149483 0.168205 0.129881 0.130522
2.7 0.671996 0.75386 0.727792 0.611079 0.619898 0.526004 0.704506 0.220594 0.169686 0.134899 0.136103 0.155045 0.133029 0.119493
2.8 0.728484 0.738043 0.749507 0.603976 0.612224 0.521141 0.670357 0.189714 0.172703 0.15871 0.139504 0.162542 0.160379 0.14458
2.9 0.71165 0.707751 0.745287 0.615262 0.628313 0.53672 0.687254 0.183454 0.179373 0.160574 0.159268 0.169098 0.150348 0.124091
3.0 0.696816 0.755345 0.730777 0.61539 0.596764 0.537759 0.686811 0.171798 0.139734 0.151838 0.146475 0.170645 0.139505 0.154593
3.1 0.688757 0.729946 0.713215 0.61455 0.613904 0.52119 0.687039 0.169993 0.142431 0.147147 0.13403 0.159631 0.164621 0.129433
3.2 0.732744 0.725181 0.737873 0.613392 0.620804 0.540628 0.706712 0.16074 0.154149 0.132519 0.140466 0.176323 0.155346 0.121549
3.3 0.717395 0.74966 0.715862 0.624418 0.63834 0.531791 0.692873 0.144856 0.134313 0.143403 0.141605 0.181312 0.146389 0.14744
3.4 0.701318 0.751982 0.711532 0.614423 0.638176 0.548805 0.706222 0.155638 0.127606 0.138812 0.142851 0.148722 0.134225 0.113651
3.5 0.694197 0.742569 0.727546 0.629735 0.650433 0.537707 0.679341 0.163388 0.139265 0.139991 0.146333 0.162029 0.15937 0.134288
3.6 0.698723 0.750037 0.745045 0.630287 0.654069 0.539295 0.71255 0.142835 0.132798 0.137497 0.157739 0.143165 0.154881 0.11441
