T     C64       C128
1.000 0.0233837 0.0233837
1.100 0.0415923 0.0415923
1.200 0.0671704 0.0671704
1.300 0.101012  0.101012
1.400 0.144015  0.144015
1.500 0.197278  0.197278
1.600 0.262358  0.262358
1.700 0.341671  0.341671
1.800 0.439222  0.439222
1.850 0.496873  0.496873
1.900 0.562170  0.56217
1.950 0.637143  0.637143
2.000 0.724881  0.724881
2.050 0.830416  0.830416
2.100 0.962759  0.962759
2.150 1.14063   1.14061
2.200 1.41505   1.41444
2.210 1.49332   1.49267
2.220 1.58462   1.58532
2.230 1.69176   1.69913
2.240 1.81585   1.84628
2.250 1.95288   2.04628
2.260 2.08902   2.30743
2.261 2.10167   2.3351
2.262 2.11404   2.36254
2.263 2.12607   2.38953
2.264 2.13775   2.41587
2.265 2.14903   2.44131
2.266 2.15988   2.46562
2.267 2.17028   2.48853
2.268 2.18018   2.50978
2.269 2.18956   2.52912
2.270 2.19837   2.54628
2.271 2.20660   2.56103
2.272 2.21421   2.57313
2.273 2.22117   2.58241
2.274 2.22746   2.58869
2.275 2.23305   2.59185
2.276 2.23792   2.59182
2.277 2.24204   2.58854
2.278 2.24540   2.58204
2.279 2.24799   2.57238
2.280 2.24978   2.55964
2.281 2.25077   2.54399
2.282 2.25095   2.52559
2.283 2.25032   2.50466
2.284 2.24887   2.48145
2.285 2.24660   2.45621
2.286 2.24353   2.42921
2.287 2.23965   2.40073
2.288 2.23498   2.37105
2.289 2.22953   2.34043
2.290 2.22332   2.30913
2.290 2.22332   2.30913
2.300 2.12427   2.00245
2.310 1.97982   1.77081
2.320 1.82227   1.61499
2.330 1.67470   1.50585
2.340 1.54765   1.42292
2.350 1.44263   1.35538
2.360 1.35689   1.29775
2.370 1.28645   1.24712
2.380 1.22768   1.2018
2.390 1.17764   1.16071
2.400 1.13416   1.12313
2.450 0.973737  0.97244
2.500 0.861881  0.861724
2.550 0.775209  0.775189
2.600 0.704875  0.704872
2.650 0.646178  0.646177
2.700 0.596207  0.596207
2.750 0.553014  0.553014
2.800 0.515228  0.515228
2.900 0.452113  0.452113
3.000 0.401384  0.401384
3.100 0.359679  0.359679
3.200 0.324787  0.324787
3.300 0.295184  0.295184
3.400 0.269776  0.269776
3.500 0.247754  0.247754
3.600 0.228508  0.228508
