T    C16      dC16     C32      dC32     C64      dC64     C128     dC128
1.00 3.250e-2 5.205e-3 3.223e-2 1.287e-3 3.277e-2 3.144e-4 3.265e-2 8.474e-5
1.10 5.378e-2 1.014e-2 5.587e-2 2.683e-3 5.499e-2 6.487e-4 5.570e-2 1.696e-4
1.20 9.162e-2 1.899e-2 8.559e-2 4.672e-3 8.662e-2 1.185e-3 8.674e-2 3.151e-4
1.30 1.257e-1 3.109e-2 1.275e-1 7.747e-3 1.218e-1 1.969e-3 1.285e-1 5.111e-4
1.40 1.770e-1 4.944e-2 1.698e-1 1.219e-2 1.805e-1 3.217e-3 1.752e-1 8.211e-4
1.50 2.289e-1 7.751e-2 2.289e-1 1.858e-2 2.308e-1 4.892e-3 2.351e-1 1.264e-3
1.60 3.184e-1 1.121e-1 3.134e-1 2.819e-2 3.144e-1 6.974e-3 3.055e-1 1.892e-3
1.70 3.920e-1 1.627e-1 4.071e-1 4.073e-2 3.995e-1 1.003e-2 4.042e-1 2.774e-3
1.80 5.323e-1 9.726e-1 4.780e-1 2.439e-1 4.775e-1 6.146e-2 4.687e-1 1.673e-2
1.82 4.525e-1 1.012    4.529e-1 2.571e-1 4.359e-1 6.755e-2 4.910e-1 1.833e-2
1.84 4.002e-1 1.093    4.482e-1 2.673e-1 5.751e-1 7.392e-2 5.281e-1 1.950e-2
1.86 5.753e-1 1.164    5.340e-1 2.907e-1 5.381e-1 7.865e-2 5.163e-1 2.037e-2
1.88 4.869e-1 1.214    5.937e-1 3.215e-1 5.867e-1 8.226e-2 5.589e-1 2.193e-2
1.90 6.008e-1 1.315    5.752e-1 3.373e-1 4.811e-1 8.603e-2 5.710e-1 2.370e-2
1.92 5.445e-1 1.404    5.276e-1 3.643e-1 6.395e-1 9.108e-2 6.579e-1 2.563e-2
1.94 9.527e-1 1.526    7.092e-1 3.856e-1 6.822e-1 9.888e-2 6.356e-1 2.736e-2
1.96 5.564e-1 1.636    9.087e-1 4.140e-1 6.731e-1 1.059e-1 6.843e-1 2.899e-2
1.98 6.616e-1 1.721    6.248e-1 4.548e-1 6.077e-1 1.118e-1 7.460e-1 3.009e-2
2.00 5.697e-1 1.87     7.678e-1 4.749e-1 8.525e-1 1.248e-1 8.010e-1 3.204e-2
2.02 1.389    2.132    6.271e-1 5.026e-1 8.524e-1 1.342e-1 7.627e-1 3.496e-2
