T    E16    dE16     E32    dE32     E64    dE64     E128   dE128
1.00 -3.994 4.424e-4 -3.994 1.068e-4 -3.994 2.688e-5 -3.994 7.146e-6
1.10 -3.988 9.424e-4 -3.988 2.342e-4 -3.988 5.685e-5 -3.988 1.537e-5
1.20 -3.977 1.795e-3 -3.977 4.828e-4 -3.977 1.166e-4 -3.976 3.024e-5
1.30 -3.959 3.348e-3 -3.960 8.000e-4 -3.959 2.063e-4 -3.959 5.529e-5
1.40 -3.933 5.240e-3 -3.934 1.327e-3 -3.935 3.354e-4 -3.933 8.598e-5
1.50 -3.898 8.386e-3 -3.900 2.045e-3 -3.899 5.489e-4 -3.898 1.399e-4
1.60 -3.852 1.304e-2 -3.854 3.102e-3 -3.853 8.098e-4 -3.851 2.106e-4
1.70 -3.789 1.825e-2 -3.792 4.707e-3 -3.790 1.136e-3 -3.790 3.144e-4
1.80 -3.710 2.695e-2 -3.710 6.648e-3 -3.710 1.653e-3 -3.709 4.570e-4
1.82 -3.689 2.806e-2 -3.691 7.140e-3 -3.691 1.820e-3 -3.691 4.888e-4
1.84 -3.671 2.916e-2 -3.673 7.403e-3 -3.673 1.997e-3 -3.671 5.465e-4
1.86 -3.655 3.257e-2 -3.655 7.716e-3 -3.650 2.180e-3 -3.650 5.565e-4
1.88 -3.632 3.325e-2 -3.634 8.699e-3 -3.629 2.268e-3 -3.629 5.950e-4
1.90 -3.612 3.541e-2 -3.610 9.471e-3 -3.605 2.384e-3 -3.607 6.443e-4
1.92 -3.588 3.890e-2 -3.587 9.611e-3 -3.586 2.482e-3 -3.584 6.955e-4
1.94 -3.566 4.053e-2 -3.566 1.095e-2 -3.561 2.667e-3 -3.558 7.530e-4
1.96 -3.528 4.566e-2 -3.537 1.086e-2 -3.533 2.921e-3 -3.532 7.944e-4
1.98 -3.506 4.685e-2 -3.501 1.250e-2 -3.506 3.067e-3 -3.505 8.450e-4
2.00 -3.480 5.043e-2 -3.476 1.321e-2 -3.482 3.254e-3 -3.475 8.573e-4
2.02 -3.457 5.523e-2 -3.445 1.365e-2 -3.448 3.783e-3 -3.443 9.528e-4
2.04 -3.401 6.496e-2 -3.420 1.476e-2 -3.414 3.809e-3 -3.413 1.024e-3
2.06 -3.386 6.379e-2 -3.384 1.688e-2 -3.379 4.144e-3 -3.379 1.116e-3
2.08 -3.342 6.815e-2 -3.346 1.728e-2 -3.342 4.647e-3 -3.341 1.171e-3
2.10 -3.298 7.485e-2 -3.300 1.869e-2 -3.303 4.960e-3 -3.302 1.299e-3
2.12 -3.279 7.691e-2 -3.265 2.079e-2 -3.261 5.386e-3 -3.261 1.478e-3
2.14 -3.236 8.293e-2 -3.224 2.042e-2 -3.222 6.227e-3 -3.212 1.431e-3
2.16 -3.175 9.265e-2 -3.155 2.957e-2 -3.169 6.681e-3 -3.168 1.663e-3
2.18 -3.116 1.146e-1 -3.127 2.549e-2 -3.119 7.021e-3 -3.114 1.973e-3
2.20 -3.063 1.071e-1 -3.069 2.929e-2 -3.065 7.493e-3 -3.061 2.058e-3
2.22 -3.002 1.183e-1 -3.012 3.190e-2 -2.991 9.163e-3 -2.987 2.477e-3
2.24 -2.981 1.252e-1 -2.937 3.582e-2 -2.909 1.041e-2 -2.915 2.657e-3
2.26 -2.937 1.216e-1 -2.868 3.957e-2 -2.837 1.227e-2 -2.840 2.907e-3
2.28 -2.837 1.337e-1 -2.799 3.811e-2 -2.754 1.082e-2 -2.736 2.562e-3
2.30 -2.808 1.390e-1 -2.744 3.988e-2 -2.690 1.063e-2 -2.657 3.424e-3
2.32 -2.709 1.322e-1 -2.661 3.613e-2 -2.606 7.662e-3 -2.597 1.892e-3
2.34 -2.636 1.294e-1 -2.593 3.412e-2 -2.565 8.399e-3 -2.550 1.878e-3
2.36 -2.632 1.346e-1 -2.523 3.181e-2 -2.505 7.388e-3 -2.494 1.826e-3
2.38 -2.563 1.350e-1 -2.477 2.914e-2 -2.446 6.476e-3 -2.455 1.687e-3
2.40 -2.515 1.247e-1 -2.417 2.946e-2 -2.404 6.242e-3 -2.408 1.525e-3
2.42 -2.413 1.240e-1 -2.381 2.495e-2 -2.366 5.688e-3 -2.364 1.491e-3
2.44 -2.398 1.146e-1 -2.329 2.308e-2 -2.323 5.862e-3 -2.327 1.491e-3
2.46 -2.360 1.137e-1 -2.286 2.282e-2 -2.289 5.755e-3 -2.287 1.366e-3
2.48 -2.321 1.064e-1 -2.258 2.358e-2 -2.255 5.669e-3 -2.252 1.335e-3
2.50 -2.261 1.055e-1 -2.223 2.334e-2 -2.223 5.107e-3 -2.220 1.299e-3
2.52 -2.247 9.787e-2 -2.195 2.020e-2 -2.190 5.035e-3 -2.187 1.353e-3
2.54 -2.193 9.582e-2 -2.163 2.054e-2 -2.154 5.278e-3 -2.154 1.358e-3
2.56 -2.168 9.850e-2 -2.126 2.040e-2 -2.122 5.053e-3 -2.125 1.235e-3
2.58 -2.127 9.202e-2 -2.094 1.899e-2 -2.100 4.742e-3 -2.097 1.279e-3
2.60 -2.105 8.765e-2 -2.071 1.863e-2 -2.072 4.682e-3 -2.072 1.230e-3
2.62 -2.072 8.351e-2 -2.053 1.946e-2 -2.039 4.960e-3 -2.036 1.324e-3
2.64 -2.023 7.672e-2 -2.020 1.829e-2 -2.001 4.493e-3 -2.006 1.251e-3
