T8       P8        T12      P12        T16     P16         T24      P24         T32      P32         T48      P48         T64      P64
-10.1535 0.0241444 -15.2302 0.00021379 -20.307 0.000262541 -30.4604 0.000165746 -40.6139 0.000459618 -60.9209 0.000696129 -81.2279 0.00242864
-9.35348 0.025566 -14.0302 0.000262595 -18.707 0.00026716 -28.0604 0.000169608 -37.4139 0.000475657 -56.1209 0.00070598 -74.8279 0.00244168
-8.55348 0.0303747 -12.8302 0.000644676 -17.107 0.000291542 -25.6604 0.000175665 -34.2139 0.000478035 -51.3209 0.000709046 -68.4279 0.0024345
-7.75348 0.0312725 -11.6302 0.000528909 -15.507 0.000306312 -23.2604 0.00018062 -31.0139 0.000498144 -46.5209 0.0007243 -62.0279 0.00257819
-6.95348 0.037533 -10.4302 0.000560765 -13.907 0.000342293 -20.8604 0.000194126 -27.8139 0.000541433 -41.7209 0.000743278 -55.6279 0.00255283
-6.15348 0.0497343 -9.23022 0.000659182 -12.307 0.000357481 -18.4604 0.000224803 -24.6139 0.000565331 -36.9209 0.000761438 -49.2279 0.00264686
-5.35348 0.0583821 -8.03022 0.000787226 -10.707 0.000475751 -16.0604 0.000256573 -21.4139 0.000615763 -32.1209 0.00083058 -42.8279 0.00285203
-4.55348 0.0902431 -6.83022 0.00304078 -9.10697 0.00069803 -13.6604 0.000297255 -18.2139 0.000709705 -27.3209 0.000946516 -36.4279 0.0031524
-3.75348 0.111721 -5.63022 0.0024383 -7.50697 0.00141807 -11.2604 0.00053484 -15.0139 0.000825082 -22.5209 0.0010267 -30.0279 0.00356795
-2.95348 0.12949 -4.43022 0.0111812 -5.90697 0.00132162 -8.86045 0.000880491 -11.8139 0.00122757 -17.7209 0.00128274 -23.6279 0.00390034
-2.15348 0.205684 -3.23022 0.0217793 -4.30697 0.00551925 -6.46045 0.00141505 -8.61393 0.00214676 -12.9209 0.00163228 -17.2279 0.00498646
-1.35348 0.234666 -2.03022 0.033136 -2.70697 0.00995876 -4.06045 0.00403193 -5.41393 0.00331673 -8.1209 0.00233054 -10.8279 0.0072901
-0.553483 0.255427 -0.830224 0.0518671 -1.10697 0.0201385 -1.66045 0.00703853 -2.21393 0.00753902 -3.3209 0.00416605 -4.42786 0.0117968
0.246517 0.710459 0.369776 0.865693 0.493035 0.89493 0.739552 0.994924 0.98607 0.998028 1.4791 0.991584 1.97214 0.999242
1.04652 0.826049 1.56978 0.933988 2.09303 0.949913 3.13955 0.997477 4.18607 0.999287 6.2791 0.998285 8.37214 0.99961
1.84652 0.874252 2.76978 0.976696 3.69303 0.980115 5.53955 0.999617 7.38607 0.999619 11.0791 0.998352 14.7721 0.999576
2.64652 0.910599 3.96978 0.984189 5.29303 0.985205 7.93955 0.999396 10.5861 0.999528 15.8791 0.998181 21.1721 0.999551
3.44652 0.940012 5.16978 0.988657 6.89303 0.993732 10.3396 0.999437 13.7861 0.999485 20.6791 0.998076 27.5721 0.999657
4.24652 0.967571 6.36978 0.993073 8.49303 0.993787 12.7396 0.999406 16.9861 0.999523 25.4791 0.998277 33.9721 0.999501
5.04652 0.959816 7.56978 0.991759 10.093 0.993994 15.1396 0.999372 20.1861 0.999578 30.2791 0.997931 40.3721 0.999538
5.84652 0.982655 8.76978 0.992906 11.693 0.992014 17.5396 0.99896 23.3861 0.999375 35.0791 0.998163 46.7721 0.999481
6.64652 0.981482 9.96978 0.993767 13.293 0.989106 19.9396 0.999137 26.5861 0.999328 39.8791 0.997679 53.1721 0.999534
7.44652 0.98238 11.1698 0.994348 14.893 0.988389 22.3396 0.999317 29.7861 0.999471 44.6791 0.998019 59.5721 0.999603
8.24652 0.984921 12.3698 0.992341 16.493 0.991355 24.7396 0.999278 32.9861 0.999305 49.4791 0.998133 65.9721 0.999575
9.04652 0.987707 13.5698 0.992859 18.093 0.989984 27.1396 0.999135 36.1861 0.999341 54.2791 0.997296 72.3721 0.999625
9.84652 0.985048 14.7698 0.992676 19.693 0.989218 29.5396 0.999342 39.3861 0.999538 59.0791 0.997966 78.7721 0.999493
10.6465 0.991771 15.9698 0.990483 21.293 0.992705 31.9396 0.999268 42.5861 0.999515 63.8791 0.997496 85.1721 0.99955
