T   P8        P12         P16          P24          P32          P48          P64         E8          E12          E16          E24           E32           E48           E64
1.0 0.0241444 0.000213790 0.000262541  0.000165746  0.000459618  0.000696129  0.00242864  0.00103901  0.000028527  0.000045123  0.0000246792  0.0000148717  0.0000347967  0.000110168
1.1 0.0255660 0.000262594 0.00026716  0.000169608  0.000475657  0.00070598  0.00244168  0.0136646  0.000265262  0.0000445648  0.0000272954  0.0000515022  0.0000480227  0.000214812
1.2 0.0303747 0.000644676 0.000291542  0.000175665  0.000478035  0.000709046  0.0024345  0.0398782  0.00353714  0.000101014  0.0000403863  0.000058768  0.0000698541  0.000212686
1.3 0.0312725 0.000528909 0.000306312  0.00018062  0.000498144  0.0007243  0.00257819  0.0266025  0.00148289  0.000117869  0.0000569647  0.000101403  0.0000850646  0.000373899
1.4 0.0375330 0.000560765 0.000342293  0.000194126  0.000541433  0.000743278  0.00255283  0.0535552  0.00147487  0.000231229  0.0000770529  0.000166665  0.000101291  0.00042747
1.5 0.0497343 0.000659182 0.000357481  0.000224803  0.000565331  0.000761438  0.00264686  0.0824277  0.00143506  0.000253831  0.000118098  0.000189719  0.000166037  0.000558079
1.6 0.0583821 0.000787226 0.000475751  0.000256573  0.000615763  0.00083058  0.00285203  0.0766754  0.00121417  0.00068699  0.000211298  0.000265439  0.000179559  0.000680349
1.7 0.0902431 0.00304078  0.00069803  0.000297255  0.000709705  0.000946516  0.0031524  0.133815  0.00991178  0.000975387  0.000220438  0.000428618  0.000255409  0.00096869
1.8 0.111721  0.00243830  0.00141807  0.00053484  0.000825082  0.0010267  0.00356795  0.14683  0.0092403  0.00246797  0.0008059  0.000551322  0.000351292  0.00144596
1.9 0.129490  0.0111812   0.00132162  0.000880491  0.00122757  0.00128274  0.00390034  0.149843  0.0297112  0.00198536  0.00230035  0.00105282  0.000570132  0.0016323
2.0 0.205684  0.0217793   0.00551925  0.00141505  0.00214676  0.00163228  0.00498646  0.195042  0.0365031  0.0221391  0.0022555  0.00216266  0.000745641  0.00299297
2.1 0.234666  0.0331360   0.00995876  0.00403193  0.00331673  0.00233054  0.0072901  0.177174  0.0462988  0.0221306  0.00804277  0.00315594  0.0016568  0.00514548
2.2 0.255427  0.0518671   0.0201385  0.00703853  0.00753902  0.00416605  0.0117968  0.213877  0.0637404  0.0429734  0.00922377  0.00712155  0.00290748  0.00988334
2.3 0.710459  0.865693    0.89493  0.994924  0.998028  0.991584  0.999242  0.316554  0.205652  0.227004  0.0111398  0.00330939  0.0162566  0.00104976
2.4 0.826049  0.933988    0.949913  0.997477  0.999287  0.998285  0.99961  0.266409  0.140844  0.146241  0.00885763  0.00135221  0.0025133  0.000475703
2.5 0.874252  0.976696    0.980115  0.999617  0.999619  0.998352  0.999576  0.192994  0.0551683  0.0511497  0.00106061  0.000786193  0.00201797  0.000474573
2.6 0.910599  0.984189    0.985205  0.999396  0.999528  0.998181  0.999551  0.197994  0.0493415  0.0519967  0.0013821  0.000803662  0.00216683  0.000510529
2.7 0.940012  0.988657    0.993732  0.999437  0.999485  0.998076  0.999657  0.133801  0.0455273  0.0137305  0.000956253  0.000812996  0.00198951  0.000353155
2.8 0.967571  0.993073    0.993787  0.999406  0.999523  0.998277  0.999501  0.0947605  0.0150411  0.0195744  0.00117772  0.000686517  0.00176707  0.000549964
2.9 0.959816  0.991759    0.993994  0.999372  0.999578  0.997931  0.999538  0.130001  0.0195057  0.0173165  0.00129081  0.000767899  0.00197494  0.000517703
3.0 0.982655  0.992906    0.992014  0.99896  0.999375  0.998163  0.999481  0.0331402  0.0160901  0.0199709  0.00173063  0.0009208  0.00210907  0.000580083
3.1 0.981482  0.993767    0.989106  0.999137  0.999328  0.997679  0.999534  0.057767  0.0129974  0.0276078  0.0014678  0.000937786  0.00224629  0.000571433
3.2 0.982380  0.994348    0.988389  0.999317  0.999471  0.998019  0.999603  0.068481  0.0143868  0.0421817  0.00128426  0.000832677  0.00217626  0.000412259
3.3 0.984921  0.992341    0.991355  0.999278  0.999305  0.998133  0.999575  0.0580014  0.0143654  0.0191861  0.00175753  0.00105543  0.00200227  0.000550057
3.4 0.987707  0.992859    0.989984  0.999135  0.999341  0.997296  0.999625  0.0283138  0.0167415  0.0255836  0.00145229  0.00100452  0.00279725  0.000405853
3.5 0.985048  0.992676    0.989218  0.999342  0.999538  0.997966  0.999493  0.0399814  0.0129411  0.0253387  0.00124557  0.000707462  0.00258162  0.000620733
3.6 0.991771  0.990483    0.992705  0.999268  0.999515  0.997496  0.99955  0.0201668  0.0184323  0.0174014  0.00115321  0.000683121  0.00213927  0.000472089
