T    M16    dM16     M32    dM32     M64    dM64     M128   dM128
1.00 9.992e-1 8.462e-6 9.992e-1 1.982e-6 9.992e-1 5.112e-7 9.992e-1 1.345e-7
1.10 9.983e-1 1.837e-5 9.984e-1 4.645e-6 9.984e-1 1.096e-6 9.983e-1 2.984e-7
1.20 9.969e-1 3.825e-5 9.968e-1 9.905e-6 9.968e-1 2.348e-6 9.968e-1 6.166e-7
1.30 9.942e-1 7.387e-5 9.944e-1 1.713e-5 9.944e-1 4.451e-6 9.944e-1 1.191e-6
1.40 9.906e-1 1.218e-4 9.907e-1 3.086e-5 9.909e-1 7.763e-6 9.906e-1 2.019e-6
1.50 9.852e-1 2.227e-4 9.856e-1 5.408e-5 9.855e-1 1.407e-5 9.853e-1 3.553e-6
1.60 9.778e-1 4.017e-4 9.784e-1 8.986e-5 9.782e-1 2.337e-5 9.779e-1 6.115e-6
1.70 9.676e-1 5.979e-4 9.679e-1 1.555e-4 9.676e-1 3.919e-5 9.677e-1 1.053e-5
1.80 9.533e-1 1.078e-3 9.530e-1 2.789e-4 9.533e-1 6.560e-5 9.533e-1 1.825e-5
1.82 9.496e-1 1.210e-3 9.493e-1 3.300e-4 9.496e-1 7.791e-5 9.496e-1 2.092e-5
1.84 9.461e-1 1.270e-3 9.461e-1 3.312e-4 9.463e-1 9.173e-5 9.458e-1 2.420e-5
1.86 9.430e-1 1.423e-3 9.425e-1 3.726e-4 9.418e-1 1.043e-4 9.416e-1 2.630e-5
1.88 9.381e-1 1.643e-3 9.385e-1 4.428e-4 9.373e-1 1.137e-4 9.374e-1 2.932e-5
1.90 9.340e-1 1.900e-3 9.335e-1 5.038e-4 9.324e-1 1.282e-4 9.328e-1 3.311e-5
1.92 9.287e-1 2.155e-3 9.290e-1 5.005e-4 9.283e-1 1.422e-4 9.280e-1 3.915e-5
1.94 9.244e-1 2.356e-3 9.243e-1 6.396e-4 9.232e-1 1.553e-4 9.220e-1 4.428e-5
1.96 9.158e-1 2.824e-3 9.179e-1 6.657e-4 9.169e-1 1.845e-4 9.165e-1 5.053e-5
1.98 9.113e-1 3.174e-3 9.093e-1 8.841e-4 9.108e-1 2.173e-4 9.107e-1 5.762e-5
2.00 9.052e-1 3.575e-3 9.035e-1 1.091e-3 9.055e-1 2.392e-4 9.036e-1 6.756e-5
2.02 9.001e-1 4.281e-3 8.966e-1 1.088e-3 8.970e-1 3.022e-4 8.957e-1 7.737e-5
2.04 8.817e-1 7.426e-3 8.892e-1 1.394e-3 8.883e-1 3.356e-4 8.877e-1 9.206e-5
2.06 8.814e-1 5.758e-3 8.805e-1 1.606e-3 8.778e-1 4.417e-4 8.791e-1 1.109e-4
2.08 8.654e-1 9.814e-3 8.694e-1 1.846e-3 8.675e-1 5.742e-4 8.679e-1 1.340e-4
2.10 8.551e-1 1.072e-2 8.549e-1 2.528e-3 8.556e-1 7.498e-4 8.558e-1 1.610e-4
2.12 8.510e-1 9.701e-3 8.438e-1 3.173e-3 8.424e-1 8.484e-4 8.431e-1 2.190e-4
2.14 8.398e-1 1.024e-2 8.319e-1 3.315e-3 8.285e-1 1.189e-3 8.246e-1 3.073e-4
2.16 8.147e-1 1.727e-2 7.882e-1 1.757e-2 8.060e-1 2.041e-3 8.076e-1 4.412e-4
2.18 7.773e-1 3.098e-2 7.922e-1 6.641e-3 7.857e-1 2.286e-3 7.805e-1 8.611e-4
2.20 7.689e-1 2.723e-2 7.472e-1 2.338e-2 7.599e-1 3.488e-3 7.569e-1 1.219e-3
2.22 7.446e-1 3.042e-2 7.295e-1 1.724e-2 7.065e-1 1.010e-2 6.952e-1 3.449e-3
