T,H,M,E,M,E,M,E,M,E,M,E,M,E,M,E,M,E,M,E,M,E
1.000000,0.000000,0.999040,-3.972244,0.999246,-3.973806,0.999067,-3.972580,0.999061,-3.972635,0.999061,-3.972526,0.998937,-3.971745,0.999246,-3.973806,0.998991,-3.972244,0.999143,-3.973210,0.999083,-3.972862
1.010000,0.000000,0.999110,-3.972830,0.999078,-3.972537,0.998969,-3.972233,0.999170,-3.973220,0.999132,-3.972971,0.999067,-3.972461,0.998980,-3.971832,0.999083,-3.972635,0.999034,-3.972504,0.999099,-3.972776
1.020000,0.000000,0.999175,-3.973427,0.998969,-3.972049,0.998947,-3.971908,0.999034,-3.972526,0.998828,-3.971137,0.999007,-3.972146,0.998904,-3.971441,0.998806,-3.971115,0.999137,-3.973014,0.998980,-3.972038
1.030000,0.000000,0.998736,-3.970323,0.998975,-3.971766,0.998855,-3.971191,0.998937,-3.971756,0.998947,-3.971604,0.998844,-3.971148,0.998834,-3.971115,0.999045,-3.972504,0.998796,-3.970649,0.998779,-3.970714
1.040000,0.000000,0.998725,-3.970171,0.998774,-3.970714,0.998779,-3.970638,0.998817,-3.970931,0.998861,-3.970812,0.998877,-3.970964,0.998747,-3.970193,0.998844,-3.971267,0.998584,-3.969401,0.998730,-3.970302
1.050000,0.000000,0.998725,-3.969835,0.998622,-3.969173,0.998383,-3.967839,0.998497,-3.968685,0.998703,-3.970161,0.998752,-3.970193,0.998595,-3.969227,0.998730,-3.970247,0.998503,-3.968750,0.998617,-3.969358
1.060000,0.000000,0.998503,-3.968837,0.998579,-3.969282,0.998584,-3.969108,0.998503,-3.968652,0.998676,-3.969792,0.998606,-3.969347,0.998389,-3.967871,0.998600,-3.969423,0.998627,-3.969596,0.998595,-3.969358
1.070000,0.000000,0.998551,-3.968848,0.998356,-3.967567,0.998443,-3.968316,0.998448,-3.967969,0.998562,-3.969119,0.998519,-3.968772,0.998313,-3.967502,0.998324,-3.967383,0.998535,-3.968728,0.998405,-3.967980
1.080000,0.000000,0.998166,-3.966840,0.998389,-3.967556,0.998465,-3.968598,0.998253,-3.966764,0.998448,-3.968110,0.998372,-3.967806,0.998269,-3.967025,0.998340,-3.967556,0.998443,-3.967817,0.998519,-3.968717
1.090000,0.000000,0.998134,-3.966254,0.998345,-3.967394,0.998334,-3.967339,0.998275,-3.966905,0.998470,-3.968197,0.998172,-3.966309,0.998117,-3.965940,0.998193,-3.966352,0.998492,-3.968587,0.998258,-3.966699
1.100000,0.000000,0.997960,-3.965115,0.998128,-3.966341,0.998166,-3.966612,0.998036,-3.965462,0.998204,-3.967036,0.997890,-3.964865,0.998134,-3.965712,0.998264,-3.966905,0.997993,-3.965169,0.998090,-3.965484
1.110000,0.000000,0.998031,-3.965365,0.997998,-3.965592,0.998025,-3.965386,0.997955,-3.964638,0.998112,-3.965690,0.998085,-3.966113,0.997960,-3.965560,0.997938,-3.965072,0.998031,-3.965202,0.998079,-3.965788
1.120000,0.000000,0.998074,-3.965462,0.997792,-3.963628,0.997933,-3.964757,0.997618,-3.962695,0.997960,-3.964887,0.998009,-3.964789,0.997808,-3.963965,0.997890,-3.964746,0.997781,-3.964073,0.997776,-3.963997
1.130000,0.000000,0.997629,-3.962988,0.997629,-3.962847,0.997732,-3.963227,0.997895,-3.964670,0.997700,-3.962999,0.997504,-3.961469,0.997759,-3.963661,0.997374,-3.961285,0.997852,-3.963921,0.997624,-3.962739
1.140000,0.000000,0.997662,-3.962609,0.997553,-3.961947,0.997477,-3.961523,0.997461,-3.961220,0.997814,-3.963672,0.997564,-3.962381,0.997613,-3.962684,0.997613,-3.962598,0.997483,-3.961491,0.997711,-3.963401
1.150000,0.000000,0.997314,-3.960308,0.997244,-3.960178,0.997228,-3.960308,0.997412,-3.961111,0.997342,-3.960297,0.997515,-3.961545,0.997418,-3.961372,0.997683,-3.962956,0.997325,-3.960601,0.997472,-3.961350
1.160000,0.000000,0.997005,-3.958474,0.997320,-3.960265,0.997163,-3.959473,0.997179,-3.959494,0.997081,-3.958854,0.997032,-3.958702,0.997065,-3.959104,0.997211,-3.959549,0.997282,-3.960189,0.997504,-3.962099
1.170000,0.000000,0.997043,-3.958366,0.996766,-3.957205,0.996908,-3.957888,0.996832,-3.957161,0.996615,-3.956662,0.996799,-3.957552,0.996924,-3.958789,0.996750,-3.956836,0.996859,-3.957444,0.996967,-3.958116
1.180000,0.000000,0.996946,-3.957823,0.996956,-3.958236,0.996370,-3.955263,0.996696,-3.956793,0.996197,-3.953060,0.996761,-3.956934,0.996517,-3.955718,0.996842,-3.957715,0.996663,-3.955252,0.996967,-3.958496
1.190000,0.000000,0.996674,-3.956011,0.996468,-3.954785,0.996674,-3.956445,0.996663,-3.956087,0.996788,-3.956771,0.996560,-3.955349,0.996880,-3.957530,0.996761,-3.956152,0.996636,-3.955404,0.997038,-3.958377
1.200000,0.000000,0.996246,-3.952789,0.996593,-3.955534,0.996631,-3.955990,0.996164,-3.952799,0.996360,-3.953776,0.996343,-3.954069,0.996555,-3.955599,0.996251,-3.953179,0.996766,-3.956999,0.996202,-3.953158
1.210000,0.000000,0.995915,-3.951541,0.996278,-3.952951,0.996251,-3.953092,0.996213,-3.953136,0.996370,-3.954427,0.995904,-3.951693,0.996262,-3.953212,0.996153,-3.952962,0.996170,-3.952658,0.996284,-3.953266
1.220000,0.000000,0.996224,-3.952930,0.995974,-3.952311,0.995730,-3.949479,0.995486,-3.948427,0.995931,-3.950792,0.996083,-3.952355,0.996289,-3.953223,0.995795,-3.950369,0.995719,-3.949837,0.996159,-3.952387
1.230000,0.000000,0.996083,-3.952072,0.995665,-3.949859,0.995936,-3.950304,0.996023,-3.951736,0.995741,-3.949306,0.995692,-3.949631,0.995969,-3.951172,0.995616,-3.949588,0.995888,-3.950933,0.995709,-3.949783
1.240000,0.000000,0.995801,-3.949729,0.995454,-3.948090,0.995399,-3.948123,0.995356,-3.947515,0.995247,-3.946680,0.995253,-3.946929,0.995394,-3.947993,0.995443,-3.948492,0.995578,-3.948481,0.995313,-3.947276
1.250000,0.000000,0.995643,-3.949240,0.995144,-3.946408,0.995313,-3.947645,0.995388,-3.947515,0.995150,-3.945692,0.995247,-3.946658,0.995589,-3.949295,0.995394,-3.947754,0.995193,-3.946560,0.995106,-3.945627
1.260000,0.000000,0.994499,-3.942361,0.994781,-3.943305,0.994971,-3.945247,0.994944,-3.944694,0.994645,-3.943132,0.995161,-3.946126,0.994982,-3.944390,0.994840,-3.943555,0.994824,-3.944076,0.994835,-3.943576
1.270000,0.000000,0.995247,-3.946191,0.994548,-3.942578,0.994971,-3.944010,0.994938,-3.944390,0.994347,-3.940516,0.994569,-3.941927,0.994607,-3.941526,0.994846,-3.943728,0.994482,-3.941829,0.994461,-3.940430
1.280000,0.000000,0.993983,-3.939431,0.994520,-3.941797,0.994493,-3.941569,0.994293,-3.940039,0.994748,-3.943924,0.994564,-3.942567,0.994113,-3.938791,0.994737,-3.942839,0.994602,-3.942535,0.994249,-3.940093
1.290000,0.000000,0.994059,-3.938878,0.994070,-3.938238,0.994097,-3.938433,0.994526,-3.941536,0.994157,-3.939345,0.994303,-3.940560,0.993945,-3.938466,0.994553,-3.940278,0.994081,-3.938932,0.993940,-3.938336
1.300000,0.000000,0.993690,-3.936144,0.994092,-3.938520,0.994162,-3.939876,0.993951,-3.938411,0.994010,-3.939171,0.993576,-3.935579,0.993500,-3.935156,0.993739,-3.936610,0.993294,-3.934451,0.994027,-3.939062
1.310000,0.000000,0.993571,-3.935254,0.993305,-3.933084,0.993685,-3.936502,0.994151,-3.938346,0.993251,-3.934744,0.993772,-3.936296,0.993631,-3.935547,0.993631,-3.936252,0.993126,-3.933648,0.993240,-3.933550
1.320000,0.000000,0.993077,-3.931782,0.992594,-3.929470,0.993349,-3.933257,0.993359,-3.933637,0.993571,-3.934809,0.992540,-3.928863,0.993104,-3.932628,0.993349,-3.934180,0.992741,-3.930122,0.993408,-3.934625
1.330000,0.000000,0.992556,-3.928396,0.993023,-3.931510,0.992660,-3.929264,0.992274,-3.927333,0.992725,-3.930881,0.992828,-3.931022,0.993039,-3.931489,0.992497,-3.927615,0.992985,-3.931586,0.992784,-3.929774
1.340000,0.000000,0.992708,-3.929763,0.992372,-3.927724,0.992350,-3.927713,0.992350,-3.927387,0.992491,-3.929047,0.992112,-3.926530,0.992801,-3.930339,0.992112,-3.925347,0.991889,-3.924555,0.992133,-3.926345
1.350000,0.000000,0.991401,-3.922363,0.992177,-3.926031,0.992133,-3.926031,0.991612,-3.922548,0.992052,-3.925575,0.992139,-3.925944,0.991884,-3.924533,0.992025,-3.925836,0.991933,-3.923893,0.992247,-3.927973
