T,H,M,E,M,E,M,E,M,E,M,E,M,E,M,E,M,E,M,E,M,E
1.000000,0.000000,0.999219,-3.993750,1.000000,-4.000000,0.998437,-3.987500,0.999219,-3.993750,0.999219,-3.993750,1.000000,-4.000000,0.999219,-3.993750,1.000000,-4.000000,0.999219,-3.993750,0.998437,-3.990625
1.010000,0.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,0.997656,-3.984375,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,0.999219,-3.993750,0.998437,-3.987500,1.000000,-4.000000
1.020000,0.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,0.998437,-3.987500,0.998437,-3.990625,1.000000,-4.000000,1.000000,-4.000000,1.000000,-4.000000,0.994531,-3.962500
1.030000,0.000000,0.997656,-3.981250,1.000000,-4.000000,0.999219,-3.993750,0.997656,-3.984375,0.996875,-3.978125,0.999219,-3.993750,0.997656,-3.981250,1.000000,-4.000000,0.999219,-3.993750,0.999219,-3.993750
1.040000,0.000000,0.998437,-3.990625,0.996875,-3.975000,0.998437,-3.987500,1.000000,-4.000000,1.000000,-4.000000,0.997656,-3.981250,1.000000,-4.000000,1.000000,-4.000000,0.997656,-3.981250,0.997656,-3.981250
1.050000,0.000000,0.998437,-3.987500,1.000000,-4.000000,0.999219,-3.993750,0.998437,-3.987500,0.999219,-3.993750,0.999219,-3.993750,0.999219,-3.993750,0.998437,-3.987500,0.996875,-3.978125,0.996875,-3.981250
1.060000,0.000000,0.997656,-3.981250,0.998437,-3.987500,0.999219,-3.993750,0.998437,-3.987500,0.999219,-3.993750,0.999219,-3.993750,0.998437,-3.987500,0.999219,-3.993750,1.000000,-4.000000,1.000000,-4.000000
1.070000,0.000000,0.997656,-3.984375,0.998437,-3.987500,0.999219,-3.993750,0.998437,-3.987500,0.999219,-3.993750,0.999219,-3.993750,0.999219,-3.993750,0.998437,-3.987500,0.996875,-3.978125,0.999219,-3.993750
1.080000,0.000000,1.000000,-4.000000,0.998437,-3.987500,0.999219,-3.993750,0.996094,-3.978125,0.999219,-3.993750,0.997656,-3.984375,0.999219,-3.993750,1.000000,-4.000000,0.997656,-3.981250,0.999219,-3.993750
1.090000,0.000000,0.999219,-3.993750,1.000000,-4.000000,0.994531,-3.968750,0.994531,-3.956250,0.996875,-3.975000,1.000000,-4.000000,0.999219,-3.993750,0.998437,-3.987500,0.998437,-3.987500,0.998437,-3.987500
1.100000,0.000000,0.997656,-3.981250,1.000000,-4.000000,0.999219,-3.993750,0.992188,-3.953125,1.000000,-4.000000,0.997656,-3.981250,0.999219,-3.993750,1.000000,-4.000000,0.998437,-3.990625,0.996875,-3.978125
1.110000,0.000000,0.998437,-3.987500,0.997656,-3.984375,1.000000,-4.000000,0.997656,-3.981250,0.998437,-3.987500,0.999219,-3.993750,0.994531,-3.962500,0.997656,-3.981250,0.995313,-3.965625,0.997656,-3.981250
1.120000,0.000000,0.999219,-3.993750,0.997656,-3.981250,0.999219,-3.993750,0.998437,-3.987500,0.999219,-3.993750,0.997656,-3.981250,1.000000,-4.000000,1.000000,-4.000000,0.999219,-3.993750,0.999219,-3.993750
1.130000,0.000000,0.998437,-3.987500,0.996875,-3.978125,0.996875,-3.978125,0.999219,-3.993750,0.998437,-3.987500,0.997656,-3.984375,0.997656,-3.984375,0.993750,-3.956250,0.995313,-3.968750,0.998437,-3.987500
1.140000,0.000000,0.999219,-3.993750,0.996875,-3.978125,0.997656,-3.981250,0.995313,-3.962500,0.998437,-3.987500,0.996094,-3.971875,0.995313,-3.968750,0.995313,-3.962500,0.999219,-3.993750,0.997656,-3.984375
1.150000,0.000000,0.996875,-3.975000,0.996875,-3.981250,1.000000,-4.000000,0.999219,-3.993750,0.996875,-3.978125,0.998437,-3.990625,0.998437,-3.987500,0.999219,-3.993750,0.997656,-3.981250,0.996094,-3.968750
1.160000,0.000000,0.998437,-3.987500,0.996875,-3.975000,0.996875,-3.978125,0.996875,-3.981250,0.997656,-3.981250,0.995313,-3.965625,0.995313,-3.962500,0.997656,-3.981250,0.997656,-3.981250,0.992969,-3.950000
1.170000,0.000000,0.998437,-3.987500,0.996875,-3.975000,0.999219,-3.993750,1.000000,-4.000000,0.997656,-3.981250,0.994531,-3.962500,1.000000,-4.000000,0.996094,-3.968750,0.995313,-3.965625,0.998437,-3.987500
1.180000,0.000000,0.996094,-3.968750,1.000000,-4.000000,0.998437,-3.987500,0.996094,-3.971875,0.995313,-3.965625,0.996875,-3.975000,0.999219,-3.993750,0.997656,-3.981250,0.993750,-3.956250,0.997656,-3.981250
1.190000,0.000000,1.000000,-4.000000,0.997656,-3.981250,0.997656,-3.981250,0.999219,-3.993750,0.998437,-3.987500,0.997656,-3.981250,0.995313,-3.965625,0.996875,-3.975000,0.994531,-3.965625,1.000000,-4.000000
1.200000,0.000000,0.994531,-3.962500,0.996875,-3.975000,0.995313,-3.962500,0.996875,-3.978125,0.997656,-3.984375,0.995313,-3.962500,1.000000,-4.000000,0.997656,-3.981250,0.997656,-3.984375,0.995313,-3.962500
1.210000,0.000000,0.995313,-3.962500,0.993750,-3.953125,0.993750,-3.950000,0.997656,-3.984375,0.996875,-3.975000,0.994531,-3.959375,0.998437,-3.987500,1.000000,-4.000000,0.999219,-3.993750,0.999219,-3.993750
